185,Liberia,"5,812",,287,,"5,458",,67,2,"1,115",55,"128,246","24,596","5,214,191"
186,Bermuda,"5,637",,100,,"5,438",,99,1,"90,957","1,614","590,048","9,520,896","61,974"
187,San Marino,"5,509",,92,,"5,383",,34,2,"161,910","2,704","82,601","2,427,656","34,025"
188,Chad,"5,067",,174,,"4,874",,19,,297,10,"148,082","8,687","17,045,948"
189,St. Vincent Grenadines,"4,905",,64,,"3,060",,"1,781",2,"44,029",574,"85,741","769,633","111,405"
190,Dominica,"4,691",,31,,"4,252",,408,,"64,953",429,"90,439","1,252,236","72,222"
191,Sint Maarten,"4,486",,75,,"4,374",,37,10,"103,084","1,723","53,105","1,220,300","43,518"
192,Comoros,"4,239",,147,,"4,049",,43,,"4,742",164,,,"893,998"
193,Antigua and Barbuda,"4,036",,102,,"3,645",,289,9,"40,768","1,030","17,674","178,527","98,999"
194,Saint Martin,"3,850",,55,,"1,399",,"2,396",7,"97,382","1,391","54,303","1,373,542","39,535"
195,Sao Tome and Principe,"3,705",,56,,"3,216",,433,,"16,502",249,"14,689","65,424","224,521"
196,Liechtenstein,"3,551",4,61,,"3,449",8,41,2,"92,783","1,594","49,126","1,283,602","38,272"
197,Monaco,"3,404",,36,,"3,343",,25,2,"85,940",909,"54,960","1,387,563","39,609"
198,Turks and Caicos,"2,974",13,23,,"2,887",5,64,1,"75,467",584,"94,789","2,405,324","39,408"
199,British Virgin Islands,"2,725",,37,,"2,649",,39,7,"89,353","1,213","82,570","2,707,479","30,497"
200,Saint Kitts and Nevis,"2,657",,21,,"2,471",,165,1,"49,482",391,"51,994","968,303","53,696"
201,Bhutan,"2,621",1,3,,"2,610",,8,,"3,348",4,"1,195,569","1,527,271","782,814"
202,Caribbean Netherlands,"2,407",,19,,"2,304",,84,,"90,676",716,"25,579","963,609","26,545"
203,Faeroe Islands,"1,846",68,2,,"1,345",6,499,5,"37,591",41,"470,000","9,570,742","49,108"
204,St. Barth,"1,589",,6,,462,,"1,121",,"160,230",605,"38,369","3,869,013","9,917"
205,Cayman Islands,"1,496",126,2,,973,16,521,,"22,415",30,"136,780","2,049,446","66,740"
206,Anguilla,859,,1,,749,,109,,"56,588",66,"47,917","3,156,588","15,180"
207,Greenland,779,,,,704,,75,2,"13,691",,"85,448","1,501,722","56,900"
208,Diamond Princess,712,,13,,699,,0,,,,,,
209,Wallis and Futuna,445,,7,,438,,0,,"40,532",638,"20,508","1,867,930","10,979"
210,Macao,77,,,,72,6,5,,116,,"4,999","7,563","661,006"
211,Falkland Islands,68,,,,67,,1,,"18,821",,"7,643","2,115,417","3,613"
212,Montserrat,41,,1,,34,,6,,"8,207",200,"1,408","281,825","4,996"
213,Saint Pierre Miquelon,32,,,,32,,0,,"5,558",,"10,173","1,767,066","5,757"
214,Vatican City,27,,,,27,,0,,"33,582",,,,804
215,Solomon Islands,20,,,,20,,0,,28,,"4,500","6,346","709,058"
216,Western Sahara,10,,1,,8,,1,,16,2,,,"616,672"
217,MS Zaandam,9,,2,,7,,0,,,,,,
218,Palau,8,,,,8,,0,,439,,"11,133","611,435","18,208"
219,Vanuatu,6,,1,,3,,2,,19,3,"23,000","72,648","316,595"
220,Marshall Islands,4,,,,4,,0,,67,,,,"59,717"
221,Samoa,3,,,,3,,0,,15,,,,"200,154"
222,Saint Helena,2,,,,2,,0,,328,,,,"6,101"
223,Micronesia,1,,,,1,,0,,9,,,,"116,613"
