Detector,X_CORD,Y_CORD,1,2,3,4,5
M14Dry,513180.4763,6374455.951,1,1,1,1,0
M15Dry,513462.6603,6374790.58,1,1,1,1,0
M16Dry,513908.2775,6374633.546,1,1,1,1,0
M17Dry,514297.1839,6374324.258,1,1,1,1,0
M18Dry,514443.2001,6373939.818,1,1,1,1,0
M19Dry,514519.0237,6373530.758,1,1,1,1,0
M20Dry,514833.9575,6373144.511,1,1,1,1,0
M21Dry,514392.8208,6372848.509,1,1,1,1,0
M22Dry,513948.2577,6372693.945,1,1,0,1,0
M23Dry,513540.9613,6372938.284,1,1,1,0,0
M24Dry,513220.4752,6373336.913,1,1,1,1,0
M25Dry,512951.4543,6373721.497,1,1,0,1,0
M26Dry,509478.0481,6371959.262,1,1,0,1,0
M27Dry,509169.967,6372345.111,1,1,1,1,0
M28Dry,508734.1862,6372579.966,1,0,1,0,0
M29Dry,508523.2795,6372333.827,1,1,1,1,0
M30Dry,508161.7518,6372011.983,1,1,1,1,0
M31Dry,507920.0038,6371571.413,1,1,1,1,0
M32Dry,507558.5077,6371228.927,1,1,1,1,0
M33Dry,507075.1876,6371221.746,1,1,1,1,0
M34Dry,506175.5818,6371647.372,1,1,1,1,0
M35Dry,506554.2156,6371476.742,1,1,1,1,0
M36Dry,505732.752,6371743.751,1,1,1,1,0
M37Dry,506965.1873,6373106.494,1,1,1,1,0
M38Dry,506810.7922,6372739.889,1,1,0,1,0
M39Dry,506937.4735,6372312.117,1,1,1,1,0
M40Dry,506745.2205,6371883.679,1,1,1,1,0
M41Dry,506957.5443,6371557.725,1,1,1,1,0
M42Dry,507366.3533,6371318.644,1,0,1,1,0
M43Dry,506772.5094,6371258.762,1,1,1,1,0
M44Dry,506596.854,6370827.87,1,1,1,1,0
M45Dry,506267.2931,6370385.877,1,1,1,1,0
M46Dry,505874.0688,6370046.01,1,1,1,1,0
M47Dry,505202.4085,6371745.041,1,0,1,1,0
M48Dry,505121.6077,6371212.418,1,1,1,1,0
M49Dry,505104.6877,6370719.78,1,1,1,1,0
M50Dry,505189.378,6370286.286,1,1,1,1,0
N01Per,459552.288,6228497.369,1,1,1,1,1
N02Per,459954.0413,6228267.56,0,1,1,1,1
N03Per,460376.2702,6228056.227,1,1,1,1,1
N04Per,460825.2084,6227984.144,1,1,1,1,1
N05Per,461023.9858,6227545.429,1,1,0,1,1
N06Per,461144.2936,6227116.92,0,1,1,1,1
N07Per,461395.2103,6226709.791,1,1,1,1,1
N08Per,461803.7838,6226451.325,1,1,1,1,1
N09Per,461580.3179,6226149.591,1,1,0,0,0
N10Per,461213.0058,6225797.142,1,1,1,0,1
N11Per,461100.9934,6225538.989,1,1,1,1,1
N12Per,462166.9524,6226124.355,1,1,1,1,1
N13Per,462556.8078,6225806.348,1,1,0,1,1
N14Per,462706.5671,6225393.792,1,1,1,1,1
N15Per,462466.2763,6224985.565,1,1,1,1,1
N16Per,462670.0785,6224547.279,0,1,1,1,1
N17Per,462876.8339,6224080.281,1,1,1,1,1
N18Per,463240.6589,6225442.905,1,1,1,0,0
N19Per,463752.9923,6225467.288,1,1,1,0,0
N20Per,464241.0017,6225364.258,1,1,1,0,0
N21Per,464627.2094,6225130.756,1,1,1,0,0
N22Per,466537.5474,6224725.03,1,1,1,1,1
N23Per,466639.6625,6225212.72,1,1,1,1,1
N24Per,466782.2469,6225656.975,1,1,1,1,1
N25Per,466940.7699,6226083.985,1,1,1,1,0
N26Per,466954.584,6226668.825,1,1,1,1,1
N27Per,466774.9971,6227059.607,1,1,1,1,1
N28Per,466547.9272,6227465.187,1,1,1,1,1
